,state,Year,Uninsured: %
1068,AR,2012,19.4
1069,AR,2011,19.8
1070,AR,2010,21.3
1071,AR,2009,20.4
1072,AR,2008,19.8
1073,AR,2007,19.6
1074,AR,2006,20.4
1075,AR,2014,18.1
1076,AR,2013,24.0
1077,AR,2012,23.7
1078,AR,2011,25.6
1079,AR,2010,27.2
1080,AR,2009,24.8
1081,AR,2008,24.8
1082,AR,2007,23.7
1083,AR,2006,25.3
1084,AR,2014,12.9
1085,AR,2013,19.4
1086,AR,2012,20.4
1087,AR,2011,21.3
1088,AR,2010,21.9
1089,AR,2009,22.2
1090,AR,2008,26.2
1091,AR,2007,24.1
1092,AR,2006,23.5
1093,AR,2014,19.0
1094,AR,2013,25.7
1095,AR,2012,26.9
1096,AR,2011,26.2
1097,AR,2010,29.1
1098,AR,2009,25.7
1099,AR,2008,26.9
1100,AR,2007,32.2
1101,AR,2006,34.6
1102,AR,2014,14.3
1103,AR,2013,20.9
1104,AR,2012,21.5
1105,AR,2011,21.7
1106,AR,2010,21.3
1107,AR,2009,21.4
1108,AR,2008,19.4
1109,AR,2007,14.0
1110,AR,2006,19.8
1111,AR,2014,12.2
1112,AR,2013,17.6
1113,AR,2012,18.5
1114,AR,2011,21.1
1115,AR,2010,20.8
1116,AR,2009,20.8
1117,AR,2008,19.9
1118,AR,2007,22.5
1119,AR,2006,23.9
1120,AR,2014,14.6
1121,AR,2013,20.4
1122,AR,2012,20.3
1123,AR,2011,21.5
1124,AR,2010,22.2
1125,AR,2009,21.8
1126,AR,2008,21.7
1127,AR,2007,16.3
1128,AR,2006,18.0
1129,AR,2014,13.9
1130,AR,2013,20.4
1131,AR,2012,20.6
1132,AR,2011,21.6
1133,AR,2010,23.3
1134,AR,2009,21.7
1135,AR,2008,22.4
1136,AR,2007,22.5
